Composition,Hc2(0) Linear (T),Tc Linear (K),Hc2(0) Quadratic (T),Tc Quadratic (K)
HfTa4Zr,8.107113668603207,6.950364925711465,5.700759265067937,6.82475416675489
MoTaZr2,4.654945582105931,4.955282882959193,2.6516094261132572,4.964487480433949
Nb2TaZr,10.571139769957858,9.36278635085923,6.28690046828325,9.316489521629043
NbTa2Zr,10.34263088419671,8.576915939007847,6.255823393551379,8.5075273598851
MoNbZr2,5.731986572459305,5.525011934548321,3.6730773773502134,5.484336540434069
Hf2Nb3Ru,6.280230217650564,6.690609130188931,4.336297094480781,6.542484015411875
Mo3NbRu2,4.0666456765462575,5.151326059619284,2.6763971427417643,5.078259826241622
MoNbRu2,5.695458638858578,4.67750345742372,3.6243562088202017,4.655715509581084
